"","name_species","El_Hierro","La_Palma","La_Gomera","Tenerife","Gran_Canaria","Fuerteventura","Lanzarote"
"382","Cuscuta approximata",NA,NA,NA,1,1,1,1
"383","Cuscuta planiflora",1,1,1,1,1,1,1
"387","Cyperus laevigatus",NA,1,1,1,1,1,1
"388","Cyperus teneriffae",NA,NA,NA,1,1,NA,NA
"389","Dendriopoterium menendezii",NA,NA,NA,NA,1,NA,NA
"390","Dendriopoterium pulidoi",NA,NA,NA,NA,1,NA,NA
"391","Descurainia artemisioides",NA,NA,NA,NA,1,NA,NA
"392","Descurainia bourgeauana",NA,1,NA,1,NA,NA,NA
"393","Descurainia millefolia",NA,1,1,1,NA,NA,NA
"394","Descurainia preauxiana",NA,NA,NA,NA,1,NA,NA
"395","Dicheranthus plocamoides",NA,NA,1,1,NA,NA,NA
"396","Dipcadi serotinum",NA,NA,1,1,1,1,1
"397","Dorycnium spectabile",NA,NA,NA,1,NA,NA,NA
"398","Echium bethencourtii",NA,1,NA,NA,NA,NA,NA
"399","Echium bonnetii",NA,NA,NA,1,1,1,1
"400","Echium brevirame",NA,1,NA,NA,NA,NA,NA
"401","Echium decaisnei",NA,NA,NA,NA,1,1,1
"402","Echium giganteum",NA,NA,NA,1,NA,NA,NA
"403","Echium lancerottense",NA,NA,NA,NA,NA,NA,1
"404","Echium leucophaeum",NA,NA,NA,1,NA,NA,NA
"405","Echium onosmifolium",NA,NA,NA,NA,1,NA,NA
"406","Echium plantagineum",1,1,1,1,1,NA,NA
"407","Echium simplex",NA,NA,NA,1,NA,NA,NA
"408","Echium strictum",1,1,1,1,1,NA,NA
"409","Echium sventenii",NA,NA,NA,1,NA,NA,NA
"410","Echium triste",NA,NA,1,1,1,NA,NA
"411","Echium webbii",NA,1,NA,NA,NA,NA,NA
"412","Erica arborea",1,1,1,1,1,1,1
"413","Eritrichium sventenii",NA,NA,NA,NA,NA,1,NA
"414","Erucastrum canariense",NA,1,1,1,1,1,1
"415","Erucastrum cardaminoides",1,1,1,1,1,1,1
"417","Euphorbia atropurpurea",NA,NA,NA,1,NA,NA,NA
"418","Euphorbia balsamifera",1,1,1,1,1,1,1
"419","Euphorbia berthelotii",NA,NA,1,NA,NA,NA,NA
"420","Euphorbia bourgeana",NA,NA,NA,1,NA,NA,NA
"421","Euphorbia canariensis",1,1,1,1,1,1,1
"422","Euphorbia handiensis",NA,NA,NA,NA,NA,1,NA
"423","Euphorbia lamarckii",1,1,1,1,NA,NA,NA
"425","Euphorbia peplus",1,1,1,1,1,1,1
"426","Euphorbia regis-jubae",NA,1,1,NA,1,1,1
"427","Euphorbia segetalis",NA,1,NA,1,NA,NA,1
"428","Euphorbia serrata",NA,NA,NA,1,1,1,1
"429","Euphorbia terracina",1,1,1,1,1,1,1
"430","Fagonia cretica",1,1,1,1,1,1,1
"431","Foeniculum vulgare",1,1,1,1,1,1,1
"432","Forsskaolea angustifolia",1,1,1,1,1,1,1
"433","Fumaria bastardii",1,1,1,1,1,1,1
"434","Fumaria coccinea",1,NA,1,1,1,1,1
"435","Fumaria muralis",1,1,1,1,1,1,1
"436","Geranium rotundifolium",1,1,1,1,1,1,1
"437","Gladiolus italicus",1,1,1,1,1,1,1
"438","Gonospermum ferulaceum",NA,NA,NA,NA,1,NA,NA
"439","Gonospermum fruticosum",1,1,1,1,NA,NA,NA
"440","Helianthemum bramwelliorum",NA,NA,NA,NA,NA,NA,1
"441","Helianthemum canariense",1,1,1,1,1,1,1
"443","Helianthemum salicifolium",NA,NA,NA,NA,1,NA,NA
"444","Helianthemum thymiphyllum",NA,NA,NA,NA,NA,1,1
"445","Heliotropium ramosissimum",NA,1,1,1,1,1,1
"446","Hippocrepis multisiliquosa",1,NA,1,NA,1,1,1
"447","Hippocrepis salzmannii",NA,NA,NA,NA,NA,1,1
"448","Hyoscyamus albus",1,1,1,1,1,1,1
"449","Hypericum glandulosum",NA,1,1,1,1,1,NA
"450","Hypericum grandifolium",1,1,1,1,1,1,1
"451","Hypericum reflexum",NA,NA,1,1,1,NA,NA
"452","Isoplexis canariensis",NA,1,1,1,NA,NA,NA
"453","Justicia hyssopifolia",NA,NA,1,1,NA,NA,NA
"454","Kickxia commutata",NA,NA,NA,1,1,NA,NA
"455","Kickxia pendula",NA,NA,NA,NA,1,NA,NA
"458","Lamarckia aurea",1,1,1,1,1,1,1
"459","Lavandula bramwellii",NA,NA,NA,NA,1,NA,NA
"460","Lavandula buchii",NA,NA,NA,1,NA,NA,NA
"461","Lavandula canariensis",1,1,1,1,1,1,1
"462","Lavandula pinnata",NA,NA,NA,NA,NA,1,1
"463","Lavatera acerifolia",NA,1,1,1,1,1,1
"464","Lavatera cretica",1,1,1,1,1,1,1
"465","Lobularia maritima",1,1,NA,1,1,NA,NA
"466","Loeflingia hispanica",NA,NA,NA,NA,NA,1,1
"468","Lolium rigidum",1,1,1,1,1,1,1
