name_species,family,habitat<500m,status,littoral,El_Hierro,La_Palma,La_Gomera,Tenerife,Gran_Canaria,Fuerteventura,Lanzarote,#islands,sindrome,thalassochory
Triplachne_nitens,Poaceae,1,NS,presence,0,0,0,0,1,1,1,3,ANE,
Trisetaria_lapalmae,Poaceae,1,End,presence,1,1,0,1,0,1,1,5,ANE,
Citrullus_colocynthis,Cucurbitaceae,1,NP,presence,0,1,0,1,1,1,1,5,END,
Kunkeliella_subsucculenta,Santalaceae,1,End,presence,0,0,0,1,0,0,0,1,END,
Arnebia_decumbens,Boraginaceae,1,NP,presence,0,0,0,1,1,1,1,4,EPI,
Gymnocarpos_sclerocephalus,Caryophyllaceae,1,NP,presence,0,0,0,1,0,1,0,2,EPI,
Medicago_littoralis,Fabaceae,1,NS,presence,1,0,1,1,1,1,1,6,EPI,
Frankenia_pulverulenta,Frankeniaceae,1,NP,presence,1,0,0,1,1,1,1,5,multic,
Sarcocornia_perennis,Chenopodiaceae,1,NS,presence,0,0,0,0,0,1,1,2,multic,
Argyranthemum_frutescens,Asteraceae,1,End,presence,1,1,1,1,1,0,1,6,multic,0.5
Reichardia_famarae,Asteraceae,1,End,,0,0,0,0,0,1,1,2,multic,0.5
Astydamia_latifolia,Apiaceae,1,NS,presence,1,1,1,1,1,1,1,7,multic,0.5
Limonium_benmageci,Plumbaginaceae,1,End,presence,0,0,0,0,1,0,0,1,multic,0.5
Pallenis_hierochuntica,Asteraceae,1,NS,,0,0,0,0,0,1,0,1,multic,
Pallenis_spinosa,Asteraceae,1,NO,,0,1,1,1,1,1,1,6,multic,
Tolpis_barbata,Asteraceae,1,NO,,1,1,1,1,1,1,1,7,multic,
Calendula_arvensis,Asteraceae,1,NO,,1,1,1,1,1,1,1,7,multic,
Ceratocapnos_heterocarpa,Fumariaceae,1,NP,,0,0,0,0,0,1,0,1,multic,
Plantago_webbii,Plantaginaceae,1,End,,0,1,0,1,1,0,0,3,multic,
Hirschfeldia_incana,Brassicaceae,1,NO,,1,1,1,1,1,1,1,7,multic,0.5
Limonium_imbricatum,Plumbaginaceae,1,End,presence,0,1,0,1,0,0,0,2,multic,0.5
