Family,Genus ,Species,habitats<500m,Sub-Origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,#Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Cyperaceae,Cyperus,laevigatus,1,Id,1,2,,,,,1,,,,,1,,,14,Achene,0.5,0,0,0.5,0,,presence
Cyperaceae,Cyperus,distans,1,Id,1,3,,,1,,1,,,,,1,,,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,elegans,1,En,1,7,1,,1,1,,,,1,1,1,1,,14,Achene,0.5,0,0,0.5,0,,presence
Cyperaceae,Cyperus,anderssonii,1,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,virens,1,Id,1,4,,,,,1,,,,1,1,,1,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,grandifolius,,En,1,3,,,1,,,,,,1,1,,,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,esculentus,1,Id,1,5,,,1,,1,,,,1,1,,1,14,Achene,0.5,0,0,0.5,0,,presence
Cyperaceae,Cyperus,ligularis,1,Id,1,6,,1,1,,1,1,1,,,1,,,14,Achene,0.5,0,0,0.5,0,,presence
Cyperaceae,Cyperus,squarrosus,1,Id,1,11,1,1,1,1,1,1,1,,1,1,1,1,14,Achene,0.5,0,0,0.5,0,,
Cyperaceae,Cyperus,confertus,1,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,14,Achene,0.5,0,0,0.5,0,,
Fabaceae,Dalea,tenuicaulis,1,En,1,5,,,1,,1,,,,1,1,,1,1,Pod,1,0,0,0,0,,
Asteraceae,Erigeron,alternifolius,1,En,1,1,,,,,1,,,,,,,,,,0,0,0,0,1,,
Asteraceae,Darwiniothamnus,lancifolius,1,En,1,3,,1,,,1,,,,,1,,,,,0,0,0,0,1,,
Asteraceae,Darwiniothamnus,tenuifolius,1,En,1,4,,,1,,1,,,1,,1,,,,,0,0,0,0,1,,
Asteraceae,Delilia,inelegans,1,En,1,2,,,1,,,,,,,1,,,,,0,0,0,0,1,,
